year,metric,industry,value
2013-01-01,Total Employment,construction,5646
2013-01-01,Total Employment,retail,14800.9
2013-01-01,Total Employment,health care,17428
2013-01-01,Total Employment,hotels and motels,1968.5
2013-01-01,Total Employment,food services,11799.7
2022-01-01,Total Employment,construction,7748
2022-01-01,Total Employment,retail,15475.4
2022-01-01,Total Employment,health care,20555
2022-01-01,Total Employment,hotels and motels,2303
2022-01-01,Total Employment,food services,13532.2