,metric,industry,value
2023-01-01,Compliance Actions,forestry,19
2023-01-01,Employees Employed in Violation,forestry,833
2023-01-01,Employees Receiving Back Wages,forestry,784
2023-01-01,Back Wages,forestry,1490542.95
2023-01-01,Civil Money Penalties Assessed,forestry,642160.4
2022-01-01,Compliance Actions,forestry,14
2022-01-01,Employees Employed in Violation,forestry,68
2022-01-01,Employees Receiving Back Wages,forestry,67
2022-01-01,Back Wages,forestry,70178.34
2022-01-01,Civil Money Penalties Assessed,forestry,69179.8
2021-01-01,Compliance Actions,forestry,24
2021-01-01,Employees Employed in Violation,forestry,172
2021-01-01,Employees Receiving Back Wages,forestry,141
2021-01-01,Back Wages,forestry,131125.44
2021-01-01,Civil Money Penalties Assessed,forestry,204575.99
2020-01-01,Compliance Actions,forestry,35
2020-01-01,Employees Employed in Violation,forestry,918
2020-01-01,Employees Receiving Back Wages,forestry,590
2020-01-01,Back Wages,forestry,399621.13
2020-01-01,Civil Money Penalties Assessed,forestry,54739.71
2019-01-01,Compliance Actions,forestry,51
2019-01-01,Employees Employed in Violation,forestry,1130
2019-01-01,Employees Receiving Back Wages,forestry,624
2019-01-01,Back Wages,forestry,741217.12
2019-01-01,Civil Money Penalties Assessed,forestry,380326.94
2018-01-01,Compliance Actions,forestry,36
2018-01-01,Employees Employed in Violation,forestry,311
2018-01-01,Employees Receiving Back Wages,forestry,185
2018-01-01,Back Wages,forestry,140022.33
2018-01-01,Civil Money Penalties Assessed,forestry,175004.63
2017-01-01,Compliance Actions,forestry,55
2017-01-01,Employees Employed in Violation,forestry,541
2017-01-01,Employees Receiving Back Wages,forestry,489
2017-01-01,Back Wages,forestry,689919.8
2017-01-01,Civil Money Penalties Assessed,forestry,189544.9
2016-01-01,Compliance Actions,forestry,45
2016-01-01,Employees Employed in Violation,forestry,483
2016-01-01,Employees Receiving Back Wages,forestry,446
2016-01-01,Back Wages,forestry,1011373.98
2016-01-01,Civil Money Penalties Assessed,forestry,31250
2015-01-01,Compliance Actions,forestry,61
2015-01-01,Employees Employed in Violation,forestry,1217
2015-01-01,Employees Receiving Back Wages,forestry,993
2015-01-01,Back Wages,forestry,851031.06
2015-01-01,Civil Money Penalties Assessed,forestry,847650.25
2014-01-01,Compliance Actions,forestry,61
2014-01-01,Employees Employed in Violation,forestry,674
2014-01-01,Employees Receiving Back Wages,forestry,554
2014-01-01,Back Wages,forestry,517696.85
2014-01-01,Civil Money Penalties Assessed,forestry,106788.18
2013-01-01,Compliance Actions,forestry,52
2013-01-01,Employees Employed in Violation,forestry,368
2013-01-01,Employees Receiving Back Wages,forestry,295
2013-01-01,Back Wages,forestry,622024
2013-01-01,Civil Money Penalties Assessed,forestry,65697
2023-01-01,Compliance Actions,amusement,173
2023-01-01,Employees Employed in Violation,amusement,1065
2023-01-01,Employees Receiving Back Wages,amusement,573
2023-01-01,Back Wages,amusement,267237.96
2023-01-01,Civil Money Penalties Assessed,amusement,766339.61
2022-01-01,Compliance Actions,amusement,182
2022-01-01,Employees Employed in Violation,amusement,929
2022-01-01,Employees Receiving Back Wages,amusement,665
2022-01-01,Back Wages,amusement,420903.6
2022-01-01,Civil Money Penalties Assessed,amusement,331938.03
2021-01-01,Compliance Actions,amusement,287
2021-01-01,Employees Employed in Violation,amusement,1612
2021-01-01,Employees Receiving Back Wages,amusement,1063
2021-01-01,Back Wages,amusement,1208258.6
2021-01-01,Civil Money Penalties Assessed,amusement,506868.28
2020-01-01,Compliance Actions,amusement,230
2020-01-01,Employees Employed in Violation,amusement,1970
2020-01-01,Employees Receiving Back Wages,amusement,1431
2020-01-01,Back Wages,amusement,729848.78
2020-01-01,Civil Money Penalties Assessed,amusement,415087.76
2019-01-01,Compliance Actions,amusement,214
2019-01-01,Employees Employed in Violation,amusement,18126
2019-01-01,Employees Receiving Back Wages,amusement,17531
2019-01-01,Back Wages,amusement,1421508.78
2019-01-01,Civil Money Penalties Assessed,amusement,691614.55
2018-01-01,Compliance Actions,amusement,261
2018-01-01,Employees Employed in Violation,amusement,2368
2018-01-01,Employees Receiving Back Wages,amusement,1823
2018-01-01,Back Wages,amusement,1057295.43
2018-01-01,Civil Money Penalties Assessed,amusement,155469.4
2017-01-01,Compliance Actions,amusement,214
2017-01-01,Employees Employed in Violation,amusement,2241
2017-01-01,Employees Receiving Back Wages,amusement,2038
2017-01-01,Back Wages,amusement,924267.22
2017-01-01,Civil Money Penalties Assessed,amusement,113501.37
2016-01-01,Compliance Actions,amusement,206
2016-01-01,Employees Employed in Violation,amusement,1332
2016-01-01,Employees Receiving Back Wages,amusement,967
2016-01-01,Back Wages,amusement,602061.16
2016-01-01,Civil Money Penalties Assessed,amusement,254355.5
2015-01-01,Compliance Actions,amusement,278
2015-01-01,Employees Employed in Violation,amusement,3758
2015-01-01,Employees Receiving Back Wages,amusement,3286
2015-01-01,Back Wages,amusement,1319407.64
2015-01-01,Civil Money Penalties Assessed,amusement,124472.5
2014-01-01,Compliance Actions,amusement,373
2014-01-01,Employees Employed in Violation,amusement,2717
2014-01-01,Employees Receiving Back Wages,amusement,2378
2014-01-01,Back Wages,amusement,1313545.96
2014-01-01,Civil Money Penalties Assessed,amusement,214132.95
2013-01-01,Compliance Actions,amusement,342
2013-01-01,Employees Employed in Violation,amusement,2431
2013-01-01,Employees Receiving Back Wages,amusement,2260
2013-01-01,Back Wages,amusement,1784903.51
2013-01-01,Civil Money Penalties Assessed,amusement,83088
2023-01-01,Compliance Actions,construction,2134
2023-01-01,Employees Employed in Violation,construction,21811
2023-01-01,Employees Receiving Back Wages,construction,17944
2023-01-01,Back Wages,construction,35558597.63
2023-01-01,Civil Money Penalties Assessed,construction,1784916.11
2022-01-01,Compliance Actions,construction,2268
2022-01-01,Employees Employed in Violation,construction,19813
2022-01-01,Employees Receiving Back Wages,construction,17127
2022-01-01,Back Wages,construction,32913795.29
2022-01-01,Civil Money Penalties Assessed,construction,2150996.41
2021-01-01,Compliance Actions,construction,3034
2021-01-01,Employees Employed in Violation,construction,24283
2021-01-01,Employees Receiving Back Wages,construction,21341
2021-01-01,Back Wages,construction,36068079.68
2021-01-01,Civil Money Penalties Assessed,construction,2430278.52
2020-01-01,Compliance Actions,construction,2991
2020-01-01,Employees Employed in Violation,construction,30688
2020-01-01,Employees Receiving Back Wages,construction,24787
2020-01-01,Back Wages,construction,34535714.56
2020-01-01,Civil Money Penalties Assessed,construction,1025370.98
2019-01-01,Compliance Actions,construction,3063
2019-01-01,Employees Employed in Violation,construction,41350
2019-01-01,Employees Receiving Back Wages,construction,38218
2019-01-01,Back Wages,construction,48314281.21
2019-01-01,Civil Money Penalties Assessed,construction,1534306.59
2018-01-01,Compliance Actions,construction,3018
2018-01-01,Employees Employed in Violation,construction,31262
2018-01-01,Employees Receiving Back Wages,construction,25679
2018-01-01,Back Wages,construction,38829434.64
2018-01-01,Civil Money Penalties Assessed,construction,1264662.54
2017-01-01,Compliance Actions,construction,2959
2017-01-01,Employees Employed in Violation,construction,29137
2017-01-01,Employees Receiving Back Wages,construction,26514
2017-01-01,Back Wages,construction,49347769.97
2017-01-01,Civil Money Penalties Assessed,construction,940917.05
2016-01-01,Compliance Actions,construction,3120
2016-01-01,Employees Employed in Violation,construction,31333
2016-01-01,Employees Receiving Back Wages,construction,26866
2016-01-01,Back Wages,construction,41717848.93
2016-01-01,Civil Money Penalties Assessed,construction,1030774.41
2015-01-01,Compliance Actions,construction,3105
2015-01-01,Employees Employed in Violation,construction,31372
2015-01-01,Employees Receiving Back Wages,construction,27858
2015-01-01,Back Wages,construction,42307735.45
2015-01-01,Civil Money Penalties Assessed,construction,799221.12
2014-01-01,Compliance Actions,construction,3244
2014-01-01,Employees Employed in Violation,construction,28588
2014-01-01,Employees Receiving Back Wages,construction,26101
2014-01-01,Back Wages,construction,45189776.53
2014-01-01,Civil Money Penalties Assessed,construction,473566.93
2013-01-01,Compliance Actions,construction,3708
2013-01-01,Employees Employed in Violation,construction,27345
2013-01-01,Employees Receiving Back Wages,construction,25056
2013-01-01,Back Wages,construction,44691540.63
2013-01-01,Civil Money Penalties Assessed,construction,678526.8
2023-01-01,Compliance Actions,food services,4095
2023-01-01,Employees Employed in Violation,food services,32071
2023-01-01,Employees Receiving Back Wages,food services,25908
2023-01-01,Back Wages,food services,29648591.6700001
2023-01-01,Civil Money Penalties Assessed,food services,6121333.6
2022-01-01,Compliance Actions,food services,3840
2022-01-01,Employees Employed in Violation,food services,26855
2022-01-01,Employees Receiving Back Wages,food services,22531
2022-01-01,Back Wages,food services,27142447.05
2022-01-01,Civil Money Penalties Assessed,food services,4034271.88
2021-01-01,Compliance Actions,food services,4237
2021-01-01,Employees Employed in Violation,food services,34359
2021-01-01,Employees Receiving Back Wages,food services,29209
2021-01-01,Back Wages,food services,34741032.19
2021-01-01,Civil Money Penalties Assessed,food services,3175536.83
2020-01-01,Compliance Actions,food services,4551
2020-01-01,Employees Employed in Violation,food services,44989
2020-01-01,Employees Receiving Back Wages,food services,39404
2020-01-01,Back Wages,food services,38616789.78
2020-01-01,Civil Money Penalties Assessed,food services,3207421.31
2019-01-01,Compliance Actions,food services,5417
2019-01-01,Employees Employed in Violation,food services,49776
2019-01-01,Employees Receiving Back Wages,food services,41863
2019-01-01,Back Wages,food services,36039626.13
2019-01-01,Civil Money Penalties Assessed,food services,3482527.11
2018-01-01,Compliance Actions,food services,5751
2018-01-01,Employees Employed in Violation,food services,47686
2018-01-01,Employees Receiving Back Wages,food services,41103
2018-01-01,Back Wages,food services,42873337.24
2018-01-01,Civil Money Penalties Assessed,food services,3085273.37
2017-01-01,Compliance Actions,food services,5446
2017-01-01,Employees Employed in Violation,food services,50307
2017-01-01,Employees Receiving Back Wages,food services,44363
2017-01-01,Back Wages,food services,42936551.75
2017-01-01,Civil Money Penalties Assessed,food services,2202306.53
2016-01-01,Compliance Actions,food services,4975
2016-01-01,Employees Employed in Violation,food services,50487
2016-01-01,Employees Receiving Back Wages,food services,44707
2016-01-01,Back Wages,food services,39754568.9
2016-01-01,Civil Money Penalties Assessed,food services,2261605.57
2015-01-01,Compliance Actions,food services,4787
2015-01-01,Employees Employed in Violation,food services,53509
2015-01-01,Employees Receiving Back Wages,food services,46960
2015-01-01,Back Wages,food services,38134410.5
2015-01-01,Civil Money Penalties Assessed,food services,1623667.04
2014-01-01,Compliance Actions,food services,5117
2014-01-01,Employees Employed in Violation,food services,51454
2014-01-01,Employees Receiving Back Wages,food services,44148
2014-01-01,Back Wages,food services,34445624.8
2014-01-01,Civil Money Penalties Assessed,food services,1518542.49
2013-01-01,Compliance Actions,food services,6058
2013-01-01,Employees Employed in Violation,food services,53808
2013-01-01,Employees Receiving Back Wages,food services,48327
2013-01-01,Back Wages,food services,34933663.12
2013-01-01,Civil Money Penalties Assessed,food services,1577955.14
2023-01-01,Compliance Actions,hotels and motels,544
2023-01-01,Employees Employed in Violation,hotels and motels,4124
2023-01-01,Employees Receiving Back Wages,hotels and motels,3256
2023-01-01,Back Wages,hotels and motels,2494920.56
2023-01-01,Civil Money Penalties Assessed,hotels and motels,797097.42
2022-01-01,Compliance Actions,hotels and motels,595
2022-01-01,Employees Employed in Violation,hotels and motels,3242
2022-01-01,Employees Receiving Back Wages,hotels and motels,3018
2022-01-01,Back Wages,hotels and motels,4636891.07
2022-01-01,Civil Money Penalties Assessed,hotels and motels,474953.72
2021-01-01,Compliance Actions,hotels and motels,602
2021-01-01,Employees Employed in Violation,hotels and motels,3402
2021-01-01,Employees Receiving Back Wages,hotels and motels,3099
2021-01-01,Back Wages,hotels and motels,2445609.01
2021-01-01,Civil Money Penalties Assessed,hotels and motels,694542.83
2020-01-01,Compliance Actions,hotels and motels,645
2020-01-01,Employees Employed in Violation,hotels and motels,4095
2020-01-01,Employees Receiving Back Wages,hotels and motels,3784
2020-01-01,Back Wages,hotels and motels,2464165.22
2020-01-01,Civil Money Penalties Assessed,hotels and motels,697889.16
2019-01-01,Compliance Actions,hotels and motels,971
2019-01-01,Employees Employed in Violation,hotels and motels,7875
2019-01-01,Employees Receiving Back Wages,hotels and motels,6400
2019-01-01,Back Wages,hotels and motels,3677439.42
2019-01-01,Civil Money Penalties Assessed,hotels and motels,891022.01
2018-01-01,Compliance Actions,hotels and motels,1296
2018-01-01,Employees Employed in Violation,hotels and motels,25388
2018-01-01,Employees Receiving Back Wages,hotels and motels,24432
2018-01-01,Back Wages,hotels and motels,9346636.4
2018-01-01,Civil Money Penalties Assessed,hotels and motels,589678.7
2017-01-01,Compliance Actions,hotels and motels,1605
2017-01-01,Employees Employed in Violation,hotels and motels,8998
2017-01-01,Employees Receiving Back Wages,hotels and motels,8302
2017-01-01,Back Wages,hotels and motels,5450509.71
2017-01-01,Civil Money Penalties Assessed,hotels and motels,553825.53
2016-01-01,Compliance Actions,hotels and motels,1129
2016-01-01,Employees Employed in Violation,hotels and motels,6594
2016-01-01,Employees Receiving Back Wages,hotels and motels,6222
2016-01-01,Back Wages,hotels and motels,3947846.71
2016-01-01,Civil Money Penalties Assessed,hotels and motels,355501.01
2015-01-01,Compliance Actions,hotels and motels,980
2015-01-01,Employees Employed in Violation,hotels and motels,7060
2015-01-01,Employees Receiving Back Wages,hotels and motels,6634
2015-01-01,Back Wages,hotels and motels,3594912.97
2015-01-01,Civil Money Penalties Assessed,hotels and motels,317856.75
2014-01-01,Compliance Actions,hotels and motels,1048
2014-01-01,Employees Employed in Violation,hotels and motels,9036
2014-01-01,Employees Receiving Back Wages,hotels and motels,7417
2014-01-01,Back Wages,hotels and motels,4039113.33
2014-01-01,Civil Money Penalties Assessed,hotels and motels,324329.4
2013-01-01,Compliance Actions,hotels and motels,1245
2013-01-01,Employees Employed in Violation,hotels and motels,8717
2013-01-01,Employees Receiving Back Wages,hotels and motels,8115
2013-01-01,Back Wages,hotels and motels,4524391.41
2013-01-01,Civil Money Penalties Assessed,hotels and motels,339590.5
2023-01-01,Compliance Actions,janitorial services,408
2023-01-01,Employees Employed in Violation,janitorial services,5420
2023-01-01,Employees Receiving Back Wages,janitorial services,5066
2023-01-01,Back Wages,janitorial services,3755639.6
2023-01-01,Civil Money Penalties Assessed,janitorial services,1620031.9
2022-01-01,Compliance Actions,janitorial services,339
2022-01-01,Employees Employed in Violation,janitorial services,1391
2022-01-01,Employees Receiving Back Wages,janitorial services,1295
2022-01-01,Back Wages,janitorial services,3397300.35
2022-01-01,Civil Money Penalties Assessed,janitorial services,285350.37
2021-01-01,Compliance Actions,janitorial services,456
2021-01-01,Employees Employed in Violation,janitorial services,3080
2021-01-01,Employees Receiving Back Wages,janitorial services,2861
2021-01-01,Back Wages,janitorial services,2426106.29
2021-01-01,Civil Money Penalties Assessed,janitorial services,119085
2020-01-01,Compliance Actions,janitorial services,460
2020-01-01,Employees Employed in Violation,janitorial services,3582
2020-01-01,Employees Receiving Back Wages,janitorial services,3247
2020-01-01,Back Wages,janitorial services,3544663.46
2020-01-01,Civil Money Penalties Assessed,janitorial services,161159.25
2019-01-01,Compliance Actions,janitorial services,472
2019-01-01,Employees Employed in Violation,janitorial services,5475
2019-01-01,Employees Receiving Back Wages,janitorial services,5178
2019-01-01,Back Wages,janitorial services,7351515.48
2019-01-01,Civil Money Penalties Assessed,janitorial services,76778.1
2018-01-01,Compliance Actions,janitorial services,520
2018-01-01,Employees Employed in Violation,janitorial services,8162
2018-01-01,Employees Receiving Back Wages,janitorial services,6663
2018-01-01,Back Wages,janitorial services,5641983.04
2018-01-01,Civil Money Penalties Assessed,janitorial services,174548.05
2017-01-01,Compliance Actions,janitorial services,468
2017-01-01,Employees Employed in Violation,janitorial services,3457
2017-01-01,Employees Receiving Back Wages,janitorial services,2775
2017-01-01,Back Wages,janitorial services,2897736.93
2017-01-01,Civil Money Penalties Assessed,janitorial services,363462
2016-01-01,Compliance Actions,janitorial services,523
2016-01-01,Employees Employed in Violation,janitorial services,6125
2016-01-01,Employees Receiving Back Wages,janitorial services,5636
2016-01-01,Back Wages,janitorial services,3670600.41
2016-01-01,Civil Money Penalties Assessed,janitorial services,489658.3
2015-01-01,Compliance Actions,janitorial services,563
2015-01-01,Employees Employed in Violation,janitorial services,4627
2015-01-01,Employees Receiving Back Wages,janitorial services,4123
2015-01-01,Back Wages,janitorial services,3520318.7
2015-01-01,Civil Money Penalties Assessed,janitorial services,72712.5
2014-01-01,Compliance Actions,janitorial services,523
2014-01-01,Employees Employed in Violation,janitorial services,5181
2014-01-01,Employees Receiving Back Wages,janitorial services,4425
2014-01-01,Back Wages,janitorial services,3902434.44
2014-01-01,Civil Money Penalties Assessed,janitorial services,75420.5
2013-01-01,Compliance Actions,janitorial services,698
2013-01-01,Employees Employed in Violation,janitorial services,6029
2013-01-01,Employees Receiving Back Wages,janitorial services,5466
2013-01-01,Back Wages,janitorial services,4012576.77
2013-01-01,Civil Money Penalties Assessed,janitorial services,40772
2023-01-01,Compliance Actions,landscaping services,207
2023-01-01,Employees Employed in Violation,landscaping services,2129
2023-01-01,Employees Receiving Back Wages,landscaping services,1894
2023-01-01,Back Wages,landscaping services,3063867.39
2023-01-01,Civil Money Penalties Assessed,landscaping services,840387.58
2022-01-01,Compliance Actions,landscaping services,252
2022-01-01,Employees Employed in Violation,landscaping services,2035
2022-01-01,Employees Receiving Back Wages,landscaping services,1947
2022-01-01,Back Wages,landscaping services,2670300.26
2022-01-01,Civil Money Penalties Assessed,landscaping services,810145.53
2021-01-01,Compliance Actions,landscaping services,293
2021-01-01,Employees Employed in Violation,landscaping services,5585
2021-01-01,Employees Receiving Back Wages,landscaping services,5317
2021-01-01,Back Wages,landscaping services,3218092.81
2021-01-01,Civil Money Penalties Assessed,landscaping services,1144818.4
2020-01-01,Compliance Actions,landscaping services,238
2020-01-01,Employees Employed in Violation,landscaping services,2147
2020-01-01,Employees Receiving Back Wages,landscaping services,1937
2020-01-01,Back Wages,landscaping services,2414277.04
2020-01-01,Civil Money Penalties Assessed,landscaping services,855884.83
2019-01-01,Compliance Actions,landscaping services,274
2019-01-01,Employees Employed in Violation,landscaping services,3219
2019-01-01,Employees Receiving Back Wages,landscaping services,3041
2019-01-01,Back Wages,landscaping services,4236368.47
2019-01-01,Civil Money Penalties Assessed,landscaping services,752115.01
2018-01-01,Compliance Actions,landscaping services,292
2018-01-01,Employees Employed in Violation,landscaping services,3373
2018-01-01,Employees Receiving Back Wages,landscaping services,3053
2018-01-01,Back Wages,landscaping services,3465224.6
2018-01-01,Civil Money Penalties Assessed,landscaping services,271517.09
2017-01-01,Compliance Actions,landscaping services,273
2017-01-01,Employees Employed in Violation,landscaping services,2986
2017-01-01,Employees Receiving Back Wages,landscaping services,2384
2017-01-01,Back Wages,landscaping services,2876963.55
2017-01-01,Civil Money Penalties Assessed,landscaping services,132695.17
2016-01-01,Compliance Actions,landscaping services,294
2016-01-01,Employees Employed in Violation,landscaping services,3725
2016-01-01,Employees Receiving Back Wages,landscaping services,3058
2016-01-01,Back Wages,landscaping services,3051188.5
2016-01-01,Civil Money Penalties Assessed,landscaping services,234811.05
2015-01-01,Compliance Actions,landscaping services,257
2015-01-01,Employees Employed in Violation,landscaping services,3196
2015-01-01,Employees Receiving Back Wages,landscaping services,2930
2015-01-01,Back Wages,landscaping services,2182134.41
2015-01-01,Civil Money Penalties Assessed,landscaping services,162386.27
2014-01-01,Compliance Actions,landscaping services,322
2014-01-01,Employees Employed in Violation,landscaping services,3210
2014-01-01,Employees Receiving Back Wages,landscaping services,2743
2014-01-01,Back Wages,landscaping services,3708710.95
2014-01-01,Civil Money Penalties Assessed,landscaping services,196246.66
2013-01-01,Compliance Actions,landscaping services,410
2013-01-01,Employees Employed in Violation,landscaping services,4196
